SaleID,Salesman,PolicyType,CustomerAge,Premium,Status,Month
1,Frank,Auto Insurance,44,,Pending,January
2,Frank,Health Insurance,50,1716,Pending,January
3,Eve,Auto Insurance,39,,Approved,January
4,Diana,,52,1818,Approved,January
5,Alice,Auto Insurance,54,835,Approved,January
6,Frank,Home Insurance,37,,Declined,January
7,Alice,Home Insurance,22,1928,,January
8,Eve,Auto Insurance,71,2656,,January
9,Eve,Auto Insurance,31,1615,Pending,January
10,Eve,,20,2735,,January
11,Eve,Health Insurance,27,2416,Pending,January
12,Eve,Home Insurance,48,4351,Approved,January
13,Diana,,47,1424,Approved,January
14,Eve,Life Insurance,63,1103,Pending,January
15,Eve,Life Insurance,67,,Pending,January
16,Diana,Health Insurance,34,1735,Approved,January
17,Diana,Auto Insurance,28,855,Declined,January
18,Alice,,50,2535,Declined,January
19,Charlie,,59,2000,Pending,January
20,Eve,Life Insurance,65,,Pending,January
21,Alice,Life Insurance,41,2000,Pending,January
22,Alice,Auto Insurance,70,584,Declined,January
23,Bob,Life Insurance,46,,Approved,January
24,Frank,Life Insurance,21,683,Approved,January
25,Eve,,33,2000,Approved,January
26,Eve,Home Insurance,45,3481,Pending,January
27,Bob,Life Insurance,51,1408,Declined,January
28,Charlie,Health Insurance,59,,Approved,January
29,Eve,Life Insurance,20,2000,Pending,January
30,Charlie,Health Insurance,69,752,Declined,January
31,Charlie,Life Insurance,68,4334,Approved,January
32,Diana,Health Insurance,18,2000,,January
33,Frank,Auto Insurance,25,2000,Pending,January
34,Bob,,73,794,Declined,January
35,Alice,Health Insurance,58,2000,Declined,January
36,Alice,Auto Insurance,46,2000,Approved,January
37,Alice,Health Insurance,45,2000,Declined,January
38,Frank,Life Insurance,41,1517,Pending,January
39,Alice,Health Insurance,45,,,January
40,Frank,Health Insurance,46,2636,Pending,January
41,Alice,Life Insurance,31,1807,Declined,January
42,Charlie,Life Insurance,59,2000,Approved,January
43,Alice,Home Insurance,53,,Declined,January
44,Diana,Life Insurance,62,3560,Approved,January
45,Bob,Auto Insurance,20,,Declined,January
46,Bob,Home Insurance,37,2000,,January
47,Frank,,34,929,Declined,January
48,Diana,,53,522,Approved,January
49,Diana,,45,2000,Declined,January
50,Charlie,Home Insurance,73,2000,Pending,January
51,Bob,Life Insurance,38,2000,,January
52,Bob,Auto Insurance,72,1827,Declined,January
53,Frank,Health Insurance,44,642,Declined,January
54,Charlie,Auto Insurance,42,909,Approved,January
55,Alice,,42,1144,Approved,January
